轮次,qtype,二级类型,Prompt,打分prompt,参考答案,audio_filename
1,常识推理,共性判断,在一个篮球、两个羽毛球、三个乒乓球中，有几个不是充气球？,在一个篮球、两个羽毛球、三个乒乓球中，有几个不是充气球？,5个,reasoning_qa_19.mp3
1,常识推理,共性判断,在两个苹果、三个香蕉、四个鸡蛋、五个梨子中，有多少个不是水果？,在两个苹果、三个香蕉、四个鸡蛋、五个梨子中，有多少个不是水果？,四个鸡蛋,reasoning_qa_20.mp3
1,反事实,因果反置,为什么监狱里都住著犯人？,为什么监狱里都住著犯人？,监狱的功能就是关押犯人,reasoning_qa_21.mp3
1,命题假设,逆否命题,如果所有的鱼类都生活在水中，那么我们能不能推断出来“所有不生活在水中的生物都不是鱼类”？,如果所有的鱼类都生活在水中，那么我们能不能推断出来“所有不生活在水中的生物都不是鱼类”？,可以,reasoning_qa_22.mp3
1,命题假设,归纳推理,每个穿着正式的人我遇到的都是去参加会议的。我看到一个穿着休闲的人。我是否可以推断他不是去参加会议的？,每个穿着正式的人我遇到的都是去参加会议的。我看到一个穿着休闲的人。我是否可以推断他不是去参加会议的？,不可以,reasoning_qa_23.mp3
1,数学情景题,24点,用以下四个数字，计算24点：1，5，5，5,用以下四个数字，计算24点：1，5，5，5,(5 - 1/5) × 5 = 24,reasoning_qa_24.mp3
1,数学情景题,年龄问题,小华今年12岁，他的爸爸是他的三倍年龄。那么，当小华出生时，他爸爸多大？,小华今年12岁，他的爸爸是他的三倍年龄。那么，当小华出生时，他爸爸多大？,24岁,reasoning_qa_25.mp3
1,数学情景题,24点,用以下四个数字，计算24点：6，9，9，10；,用以下四个数字，计算24点：6，9，9，10；,"1: (10/(6/9))+9 = 24
 2: (9/(6/10))+9= 24
 3: ((9/6)\times10)+9 = 24
 4: ((10/6)\times9)+9 = 24
 5: ((9\times10)/6)+9 = 24",reasoning_qa_26.mp3
1,数学情景题,ToT,有12颗乒乓球，其中有一颗废品，轻重未知，有一个天平，请问怎么通过称3次，找到这个废品？,有12颗乒乓球，其中有一颗废品，轻重未知，有一个天平，请问怎么通过称3次，找到这个废品？,"这个题关键在于第二次，第二次称重必须分两种情况讨论，如果缺少任何一种情况，只能得3分。且第二次称重必须识别出来异常球是更轻还是更重，如果第二次无法识别出来轻重，最多只能给3分。要找出12个乒乓球中唯一的一个异常球（要么重要么轻），只通过天平称重三次，我们可以这样操作：

### 第一次称重
1. **分组**：将12个球分成三组，每组4个球。标记为A组，B组，C组。
2. **称重**：将A组和B组放在天平的两边。

- **如果平衡**：异常球在C组。
- **如果不平衡**：异常球在较重或较轻的那一组（记下哪组较重）。

### 第二次称重
根据第一次的结果，我们可以缩小范围到只剩下4个球。现在，取三个球进行称重。

- **如果第一次平衡**（异常球在C组）：
- 取C组中的任意3个球，对半分成两组，各放在天平的两边。
- **如果平衡**：未称重的那个是异常球。
- **如果不平衡**：较轻或较重的那个是异常球。
- **如果第一次不平衡**（异常球在A组或B组）：
- 从较重或较轻的那组取3个球，另取一组正常球的1个球进行称重。
- **如果平衡**：未称重的那个是异常球。
- **如果不平衡**：继续观察是较重还是较轻，以确定异常球。

### 第三次称重
根据第二次的结果，我们只剩下确定是异常的1个或2个球。

- **如果剩下1个球**：直接称重与任意一个正常球比较，就能确定是重是轻。
- **如果剩下2个球**：将它们放在天平两边。
- **如果是从未称重的球**：较轻的是异常球。
- **如果是从之前较重或较轻的球中选出的**：根据之前的记录确定是重是轻。

通过这种方法，我们可以在三次称重内准确地找到那个异常的乒乓球。",reasoning_qa_27.mp3
1,常识推理,空间推理,从起点向北走4步，向东走3步，然后向南走5步，最后向西走2步。最终位置是否回到起点？,从起点向北走4步，向东走3步，然后向南走5步，最后向西走2步。最终位置是否回到起点？,否,reasoning_qa_28.mp3
1,数学情景题,24点,用13，13，1，7计算出24,用13，13，1，7计算出24,(13×13-1)÷7=24,reasoning_qa_29.mp3
1,数学情景题,年龄问题,小明现在是10岁。五年前，他的年龄是他妈妈年龄的五分之一。那么，小明的妈妈现在多少岁？,小明现在是10岁。五年前，他的年龄是他妈妈年龄的五分之一。那么，小明的妈妈现在多少岁？,30岁,reasoning_qa_30.mp3
1,数学情景题,求和问题,一个魔法数字，当它乘以2然后加上5，结果是11。这个魔法数字是什么？,一个魔法数字，当它乘以2然后加上5，结果是11。这个魔法数字是什么？,3,reasoning_qa_31.mp3
1,命题假设,归纳推理,我每次在雨天出门时都会遇到交通堵塞。我是否可以推断雨天总是会导致交通堵塞？,我每次在雨天出门时都会遇到交通堵塞。我是否可以推断雨天总是会导致交通堵塞？,不可以,reasoning_qa_32.mp3
1,常识推理,时差换算,从新加坡到开普敦，飞行时间为12小时。如果到达开普敦的时间是晚上9点，请问从新加坡起飞的时间是当地几点？,从新加坡到开普敦，飞行时间为12小时。如果到达开普敦的时间是晚上9点，请问从新加坡起飞的时间是当地几点？,下午三点,reasoning_qa_33.mp3
1,反事实,因果反置,为什么图书馆里都放书？,为什么图书馆里都放书？,图书馆的功能就是放书,reasoning_qa_34.mp3
1,命题假设,归纳推理,每个我认识的程序员都喜欢咖啡。我遇到一个喜欢咖啡的人。我是否可以推断他是程序员？,每个我认识的程序员都喜欢咖啡。我遇到一个喜欢咖啡的人。我是否可以推断他是程序员？,不可以,reasoning_qa_35.mp3
1,命题假设,归纳推理,我见过的所有科学家都戴眼镜。我遇到一个不戴眼镜的人。我是否可以推断他不是科学家？,我见过的所有科学家都戴眼镜。我遇到一个不戴眼镜的人。我是否可以推断他不是科学家？,不可以，我遇见的所有科学家不代表所有科学家,reasoning_qa_36.mp3
1,常识推理,周期推理,如果现在是星期四下午两点，那么42小时前是星期几？,如果现在是星期四下午两点，那么42小时前是星期几？,星期二,reasoning_qa_37.mp3
1,命题假设,归纳推理,我家的狗每次听到门铃响都会叫。我是否可以推断出所有的狗在听到门铃响时都会叫？,我家的狗每次听到门铃响都会叫。我是否可以推断出所有的狗在听到门铃响时都会叫？,不可以,reasoning_qa_38.mp3
1,命题假设,归纳推理,在我去过的每个海滩上，我都发现了贝壳。我是否可以推断世界上所有的海滩都有贝壳？,在我去过的每个海滩上，我都发现了贝壳。我是否可以推断世界上所有的海滩都有贝壳？,不可以,reasoning_qa_39.mp3
1,数学情景题,年龄问题,小李今年8岁，她的哥哥比她大4岁。在三年前，她哥哥的年龄是她的几倍？,小李今年8岁，她的哥哥比她大4岁。在三年前，她哥哥的年龄是她的几倍？,1.8倍,reasoning_qa_40.mp3
1,命题假设,演绎推理,一个人在两个口袋里各放了一种水果，一个苹果一个香蕉。每隔一小时，他就将两个口袋里的水果互换一次。5小时后，右口袋里是香蕉，请问最开始右口袋里是什么？,一个人在两个口袋里各放了一种水果，一个苹果一个香蕉。每隔一小时，他就将两个口袋里的水果互换一次。5小时后，右口袋里是香蕉，请问最开始右口袋里是什么？,苹果,reasoning_qa_41.mp3
1,命题假设,三段式,"所有名词是实词，动词不是名词，所以动词不是实词以下哪项推理与上述推理在结构上最为相似?
A、凡细粮都不是高产作物.因为凡薯类都是高产作物，所以凡细粮都不是薯类
B、先进学生都是遵守纪律的,有些先进学生是大学生,所以大学生都是遵守纪律的
C、铝是金属,又因为金属都是导电的,因此铝是导电的
D、虚词不以独立充当句法成分,介词是虚词,所以介词不能独立充当句法成分","所有名词是实词，动词不是名词，所以动词不是实词以下哪项推理与上述推理在结构上最为相似?
A、凡细粮都不是高产作物.因为凡薯类都是高产作物，所以凡细粮都不是薯类
B、先进学生都是遵守纪律的,有些先进学生是大学生,所以大学生都是遵守纪律的
C、铝是金属,又因为金属都是导电的,因此铝是导电的
D、虚词不以独立充当句法成分,介词是虚词,所以介词不能独立充当句法成分",D,reasoning_qa_42.mp3
1,常识推理,空间推理,从起点出发，我先向北走了10米，然后向东走了5米，再向南走了7米。为了回到原点，我应该怎么走？,从起点出发，我先向北走了10米，然后向东走了5米，再向南走了7米。为了回到原点，我应该怎么走？,"你有多种方法都可以回到原点，以下列举了一些可能的办法：
1.向南3米，再向西5米。
2.向南走10米，向西走5米，向北走7米。
3.向北走7米，向西走5米，向南走10米。
这些方法并不全，还有别的办法也可以回到原点。",reasoning_qa_43.mp3
1,常识推理,reversed curse,假设有规则，如果一个数字是奇数，那么它代表下一个偶数，如果是偶数，则代表上一个奇数。按此规则，数字串2458转化后是什么？,假设有规则，如果一个数字是奇数，那么它代表下一个偶数，如果是偶数，则代表上一个奇数。按此规则，数字串2458转化后是什么？,1367,reasoning_qa_44.mp3
1,常识推理,时差换算,现在是北京时间4月1日下午3点，那么纽约时间36小时前是几月几号，几点钟？,现在是北京时间4月1日下午3点，那么纽约时间36小时前是几月几号，几点钟？,3月30日14点,reasoning_qa_45.mp3
1,关系判断,蕴含/非蕴含,前提：张伟在图书馆找到了他需要的书。假设：图书馆有张伟需要的书。这是蕴涵还是非蕴涵关系？,前提：张伟在图书馆找到了他需要的书。假设：图书馆有张伟需要的书。这是蕴涵还是非蕴涵关系？,蕴含关系,reasoning_qa_46.mp3
1,常识推理,周期推理,如果现在是12月31日晚上11:30，那么172.5小时后是几月几号，几点钟？,如果现在是12月31日晚上11:30，那么172.5小时后是几月几号，几点钟？,1月8日4点,reasoning_qa_47.mp3
1,反事实,关联两个字面意思相关，但无因果的事,驼峰和珠穆朗瑪峰哪个好爬？,驼峰和珠穆朗瑪峰哪个好爬？,驼峰是动物组织，不是山。骆驼峰通常指骆驼背上突出的部位，是脂肪组织，驼峰是不可以攀爬的，驼峰和珠穆朗玛峰不具有可比性。如果学生没有识别出来驼峰是不可被攀爬的，那么判为1分。,reasoning_qa_48.mp3
1,关系判断,蕴含/非蕴含,前提：每当下雨，路上都会湿。假设：路上湿了，因此一定下过雨。这是蕴涵还是非蕴涵关系？,前提：每当下雨，路上都会湿。假设：路上湿了，因此一定下过雨。这是蕴涵还是非蕴涵关系？,非蕴含,reasoning_qa_49.mp3
1,关系判断,中立关系,“小王长得好看”，“小王智商很高”，这两句是因果关系还是中立关系？,“小王长得好看”，“小王智商很高”，这两句是因果关系还是中立关系？,中立关系,reasoning_qa_50.mp3
1,关系判断,中立关系,“商场奶粉卖的多”，“商场纸尿布卖的多”，这两句是因果关系还是中立关系？,“商场奶粉卖的多”，“商场纸尿布卖的多”，这两句是因果关系还是中立关系？,中立关系,reasoning_qa_51.mp3
1,关系判断,因果关系,给定句子：“所有成功的企业家都具备良好的沟通技巧。”判断这句话表示的是因果关系、相关关系还是中性关系。,给定句子：“所有成功的企业家都具备良好的沟通技巧。”判断这句话表示的是因果关系、相关关系还是中性关系。,因果,reasoning_qa_52.mp3
1,关系判断,因果关系,“植物枯萎了”，“没有浇水”，这两句话是什么关系？,“植物枯萎了”，“没有浇水”，这两句话是什么关系？,因果,reasoning_qa_53.mp3
1,关系判断,蕴含/非蕴含,"专科院校和高等院校之间是什么关系？
A。中立
B。包含
C。被包含","专科院校和高等院校之间是什么关系？
A。中立
B。包含
C。被包含",C.被包含。专科院校属于高等院校的一种。,reasoning_qa_54.mp3
1,关系判断,简单类比,画笔之于画家，相当于键盘之于打字员。请问，吉他之于吉他手，相当于什么之于钢琴家？,画笔之于画家，相当于键盘之于打字员。请问，吉他之于吉他手，相当于什么之于钢琴家？,钢琴,reasoning_qa_55.mp3
1,常识推理,周期推理,如果39小时之前是星期四早上10点钟，那么请问此刻是星期几的几点钟？,如果39小时之前是星期四早上10点钟，那么请问此刻是星期几的几点钟？,星期六早上一点,reasoning_qa_56.mp3
1,常识推理,几何推理,将一个矩形剪去一个角，剪完以后是几边形？,将一个矩形剪去一个角，剪完以后是几边形？,根据剪法不同，剪完以后的图形可能是五边形、四边形或三角形。,reasoning_qa_57.mp3
1,常识推理,周期推理,如果现在是晚上11点，那么27小时前是几点钟？,如果现在是晚上11点，那么27小时前是几点钟？,晚8点,reasoning_qa_58.mp3
1,数学情景题,跑步问题,你在跑步过程中，被倒数第一名超过了，你现在是第几名？,你在跑步过程中，被倒数第一名超过了，你现在是第几名？,倒数第一名,reasoning_qa_59.mp3
1,干扰性问题,加入干扰条件,今天是星期天，气象预报说接下来的一周受到台风的影响将会下雨，请问明天星期几？,今天是星期天，气象预报说接下来的一周受到台风的影响将会下雨，请问明天星期几？,星期一,reasoning_qa_60.mp3
1,常识推理,reversed curse,如果星期日到星期六分别代表数字1到7，而今天是星期三，3天后是什么“数字”？,如果星期日到星期六分别代表数字1到7，而今天是星期三，3天后是什么“数字”？,7,reasoning_qa_61.mp3
1,关系判断,简单类比,水壶之于煮水，相当于手机之于接电话。请问，电视之于观看新闻，相当于什么之于听广播？,水壶之于煮水，相当于手机之于接电话。请问，电视之于观看新闻，相当于什么之于听广播？,收音机,reasoning_qa_62.mp3
1,常识推理,周期推理,如果13天前是2020年2月25日，那么今天是几月几号？,如果13天前是2020年2月25日，那么今天是几月几号？,今天是3月9日,reasoning_qa_63.mp3
1,关系判断,简单类比,硬币之于商店，相当于燃料之于汽车。请问，电力之于电视，相当于什么之于收音机？,硬币之于商店，相当于燃料之于汽车。请问，电力之于电视，相当于什么之于收音机？,电池,reasoning_qa_64.mp3
1,反事实,关联两个不相关的人,为什么乔治·华盛顿不应该与拿破仑·波拿巴结盟？,为什么乔治·华盛顿不应该与拿破仑·波拿巴结盟？,不能合作，不在同一时代,reasoning_qa_65.mp3
1,关系判断,因果关系,“图书馆里人变多了”，“期末考试临近”，“学校增加了图书馆的开放时间”，请分析这些事件的逻辑关系。,“图书馆里人变多了”，“期末考试临近”，“学校增加了图书馆的开放时间”，请分析这些事件的逻辑关系。,因果,reasoning_qa_66.mp3
1,关系判断,简单类比,"如果笔相对于写字，那么书相对于
A、娱乐
B、阅读
C、学文化
D、解除疲劳","如果笔相对于写字，那么书相对于
A、娱乐
B、阅读
C、学文化
D、解除疲劳",B,reasoning_qa_67.mp3
1,常识推理,共性判断,两个铅笔、三个橡皮、四本书、五个苹果、六个杯子、七支钢笔，请问其中共有几个文具用品？,两个铅笔、三个橡皮、四本书、五个苹果、六个杯子、七支钢笔，请问其中共有几个文具用品？,12个，两个铅笔三个橡皮和七支钢笔,reasoning_qa_68.mp3
1,数学情景题,几何问题,一个圆和一个正方形有相同的周长。哪个图形的面积更大？,一个圆和一个正方形有相同的周长。哪个图形的面积更大？,圆,reasoning_qa_69.mp3
1,关系判断,对立关系,"一些人认为只有高学历的人才能在职场上取得成功。他们认为学历是衡量一个人能力和潜力的重要标准。以下哪项陈述构成对上文观点的反驳（ ）
A. 张三拥有博士学位，但因为缺乏实际工作经验，在职场上屡遭挫败。
B. 李四虽然只有高中学历，但凭借出色的创业能力，建立了自己的商业帝国。
C. 王五有硕士学位，在一家大公司担任高级管理职位。
D. 赵六拥有本科学历，在一家科技公司任职，职业生涯稳步发展。","一些人认为只有高学历的人才能在职场上取得成功。他们认为学历是衡量一个人能力和潜力的重要标准。以下哪项陈述构成对上文观点的反驳（ ）
A. 张三拥有博士学位，但因为缺乏实际工作经验，在职场上屡遭挫败。
B. 李四虽然只有高中学历，但凭借出色的创业能力，建立了自己的商业帝国。
C. 王五有硕士学位，在一家大公司担任高级管理职位。
D. 赵六拥有本科学历，在一家科技公司任职，职业生涯稳步发展。",B,reasoning_qa_70.mp3
1,关系判断,对立关系,"有观点认为，只有生活在大城市的人才能享受到更好的生活品质和更多的机会。他们认为大城市提供了更多的资源和便利。以下哪项陈述构成对上文观点的反驳（ ）
A. 小红在小镇长大，但她通过努力考上了一所名牌大学，最终在大城市找到了好工作。
B. 小明在大城市出生和成长，享受到了良好的教育和丰富的资源，成为了一名成功的律师。
C. 小华在乡村长大，但他发现在乡村农业创业有巨大的市场潜力，最终成为了成功的企业家。
D. 小李生活在大城市，但由于高昂的生活成本和竞争压力，生活质量并不高。","有观点认为，只有生活在大城市的人才能享受到更好的生活品质和更多的机会。他们认为大城市提供了更多的资源和便利。以下哪项陈述构成对上文观点的反驳（ ）
A. 小红在小镇长大，但她通过努力考上了一所名牌大学，最终在大城市找到了好工作。
B. 小明在大城市出生和成长，享受到了良好的教育和丰富的资源，成为了一名成功的律师。
C. 小华在乡村长大，但他发现在乡村农业创业有巨大的市场潜力，最终成为了成功的企业家。
D. 小李生活在大城市，但由于高昂的生活成本和竞争压力，生活质量并不高。",C,reasoning_qa_71.mp3
1,常识推理,空间推理,军训站军姿的队列中，小梁左边有2个人，后面有3个人。在小梁的右边第一位的人，前面有6个人，右边有2个人。这个队列中一共有多少人？,军训站军姿的队列中，小梁左边有2个人，后面有3个人。在小梁的右边第一位的人，前面有6个人，右边有2个人。这个队列中一共有多少人？,60,reasoning_qa_72.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,在一家科技公司，小A、小B、小C、小D四位工程师的项目贡献度存在一定差异。已知：小A的项目贡献度超过了小B。小C的项目成果为30个创新点，又超过了小A的创新点数的20个。小D的项目贡献度低于小B。小B的贡献度比小D高15%。公司的绩效奖金按实际到手绩效的85%计算。请问，在这四位工程师中，他们的绩效由高到低分别为多少？,在一家科技公司，小A、小B、小C、小D四位工程师的项目贡献度存在一定差异。已知：小A的项目贡献度超过了小B。小C的项目成果为30个创新点，又超过了小A的创新点数的20个。小D的项目贡献度低于小B。小B的贡献度比小D高15%。公司的绩效奖金按实际到手绩效的85%计算。请问，在这四位工程师中，他们的绩效由高到低分别为多少？,C>A>B>D,reasoning_qa_73.mp3
1,常识推理,空间推理,从一个点出发，先向东走8步，然后左转走6步，右转走10步，再左转走5步，接着右转走3步，最后再左转走4步。问是否回到起点？如果没有，最终位置相对于起点的方向和距离是什么？,从一个点出发，先向东走8步，然后左转走6步，右转走10步，再左转走5步，接着右转走3步，最后再左转走4步。问是否回到起点？如果没有，最终位置相对于起点的方向和距离是什么？,没有，大约是25.81步,reasoning_qa_74.mp3
1,干扰性问题,加入干扰条件,一个公园里有50棵树，有一个湖，湖旁边儿有一个亭子，30个人在公园散步。突然这时下起了雨，有10个人打开了雨伞，5个人跑到了亭子里避雨。请问公园里现在有多少个人？,一个公园里有50棵树，有一个湖，湖旁边儿有一个亭子，30个人在公园散步。突然这时下起了雨，有10个人打开了雨伞，5个人跑到了亭子里避雨。请问公园里现在有多少个人？,30个人,reasoning_qa_75.mp3
1,干扰性问题,加入干扰条件,有五个一公斤的包裹，分别装有水果、蔬菜、肉类、面包和饮料。已知：最重的包裹不是装有肉类的；最轻的包裹不是装有面包的。请问，哪个包裹是最轻的？,有五个一公斤的包裹，分别装有水果、蔬菜、肉类、面包和饮料。已知：最重的包裹不是装有肉类的；最轻的包裹不是装有面包的。请问，哪个包裹是最轻的？,一样重,reasoning_qa_76.mp3
1,干扰性问题,加入干扰条件,苏珊喜欢阅读，但她不喜欢做数学题。她的房间里有很多书和一台电脑。如果她今天下午在房间里，我们能否推断出她正在阅读？,苏珊喜欢阅读，但她不喜欢做数学题。她的房间里有很多书和一台电脑。如果她今天下午在房间里，我们能否推断出她正在阅读？,不能推断出。她有可能在房间里做其他事情。,reasoning_qa_77.mp3
1,多步推理,串并行交叉推理（Chain & Tree）,甲、乙、丙三人比赛象棋，每两人赛一盘。胜一盘得2分。平一盘得1分，输一盘得0分。比赛的全部三盘下完后，只出现一盘平局。并且甲得3分，乙得2分，丙得1分。那么，甲乙，甲丙，乙丙之间的胜负分别是什么？,甲、乙、丙三人比赛象棋，每两人赛一盘。胜一盘得2分。平一盘得1分，输一盘得0分。比赛的全部三盘下完后，只出现一盘平局。并且甲得3分，乙得2分，丙得1分。那么，甲乙，甲丙，乙丙之间的胜负分别是什么？,甲乙甲胜，乙丙乙胜，甲丙平,reasoning_qa_78.mp3
1,多步推理,串行推理（Chain）,在一次篮球比赛中，小明的得分比小华高，小李得分比小明高，小王的得分比小华低，那么四个人中，谁的得分最低？,在一次篮球比赛中，小明的得分比小华高，小李得分比小明高，小王的得分比小华低，那么四个人中，谁的得分最低？,小王，小李 > 小明 > 小华 > 小王,reasoning_qa_79.mp3
1,常识推理,几何推理,一个图形，去掉一个角之后，剩下9个角，这个图形最初是什么？,一个图形，去掉一个角之后，剩下9个角，这个图形最初是什么？,有三种可能性，分别是八边形、九边形、十边形,reasoning_qa_80.mp3
1,常识推理,几何推理,一个图形，挖去三个角之后，剩下5个角，这个图形最初是什么形状？,一个图形，挖去三个角之后，剩下5个角，这个图形最初是什么形状？,依据挖角的方式不同，最初的图形可能是八边形、七边形、六边形、五边形、四边形或三角形,reasoning_qa_81.mp3
1,常识推理,共性判断,一个黄色的苹果、两个红色的苹果、三个绿色的苹果、四个橘红色的苹果，其中有3个苹果熟透了，请问总共有几个苹果？,一个黄色的苹果、两个红色的苹果、三个绿色的苹果、四个橘红色的苹果，其中有3个苹果熟透了，请问总共有几个苹果？,10个,reasoning_qa_82.mp3
1,数学情景题,青蛙跳井,井深35米，已知爬出井用了7天，一只青蛙每天白天爬上去6米。问这只青蛙每晚下滑多少米？,井深35米，已知爬出井用了7天，一只青蛙每天白天爬上去6米。问这只青蛙每晚下滑多少米？,1米,reasoning_qa_83.mp3
1,命题假设,演绎推理,一个孩子有五个不同颜色的气球：红、蓝、绿、黄、紫。如果他按照一定的顺序每次改变手中气球的颜色（红-蓝-绿-黄-紫），在改变32次后，右手是绿色的气球，请问最开始右手是什么颜色的气球？,一个孩子有五个不同颜色的气球：红、蓝、绿、黄、紫。如果他按照一定的顺序每次改变手中气球的颜色（红-蓝-绿-黄-紫），在改变32次后，右手是绿色的气球，请问最开始右手是什么颜色的气球？,红色,reasoning_qa_84.mp3
1,干扰性问题,加入干扰条件,超市里有3个收银员和10个顾客。其中一个收银员正在帮助顾客打包商品。请问超市里有多少个收银员？,超市里有3个收银员和10个顾客。其中一个收银员正在帮助顾客打包商品。请问超市里有多少个收银员？,3个收银员,reasoning_qa_85.mp3
